,Fold selected features,Fold nb of features
Fold 10,"['ACP5', 'ADAM15', 'ADAMTS13', 'AMIGO2', 'AMY2A', 'AMY2B', 'ANGPTL2', 'AOC1', 'CCL15', 'CCL20', 'CD164', 'CD63', 'CDH17', 'CDHR1', 'CEACAM3', 'CES2', 'COL4A1', 'CPA2', 'CRTAC1', 'CTSF', 'CTSV', 'DKKL1', 'DLL1', 'ENPP7', 'EPCAM', 'FCGR2A', 'FCN2', 'FCRL5', 'FCRL6', 'FOSB', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'GPC5', 'HCLS1', 'HDGF', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IL16', 'IL17C', 'IL18RAP', 'IL5RA', 'INHBC', 'ITGB6', 'JCHAIN', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRD1', 'LYPD1', 'MARCO', 'MDGA1', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NOMO1', 'NPTN', 'NPY', 'PDGFC', 'PDGFRA', 'PLAU', 'PM20D1', 'PODXL2', 'PRSS8', 'PSIP1', 'SCARB1', 'SIGLEC9', 'SMAD5', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF8', 'XPNPEP2', 'XRCC4']",87
Fold 11,"['CCL7', 'CRTAC1', 'LGALS1', 'MZB1']",4
Fold 12,"['ADAMTS15', 'ADGRG1', 'AGRN', 'AHSP', 'AMBP', 'ANGPTL3', 'APOM', 'ARTN', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'C19orf12', 'C4BPB', 'CALB2', 'CCL15', 'CCL7', 'CD164', 'CD27', 'CD5', 'CD63', 'CD74', 'CD79B', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLEC4G', 'CNTN5', 'CRH', 'CTRB1', 'CTSL', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'EPCAM', 'ERBB3', 'FABP1', 'FAP', 'FCGR2B', 'FCN2', 'FCRLB', 'FGF21', 'FOSB', 'GAL', 'GCG', 'GDF15', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GLT8D2', 'GPA33', 'GPKOW', 'HBQ1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL16', 'IL1RAP', 'IL2RA', 'IL2RB', 'IL33', 'ISLR2', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KRT5', 'LGALS9', 'LIF', 'LILRA5', 'LILRB1', 'LRIG1', 'LTBP2', 'LY9', 'LY96', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NEFL', 'NFASC', 'NMNAT1', 'NPM1', 'NPTN', 'NPY', 'NTRK3', 'OXT', 'PAEP', 'PLA2G7', 'PLAUR', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'RAB6B', 'RANGAP1', 'RBP2', 'REN', 'S100A16', 'SCARB1', 'SIRT5', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'ST3GAL1', 'TAFA5', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF8', 'TSLP', 'TYRO3', 'VWF', 'WFDC2', 'XPNPEP2']",125
Fold 13,"['CCL20', 'CRTAC1', 'FABP4', 'HLA-DRA', 'LGALS1', 'MDGA1', 'MZB1', 'PON3']",8
Fold 14,"['ACE2', 'ADAMTS13', 'ADAMTS15', 'ADAMTS16', 'ADGRG2', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL17', 'CCL19', 'CCL20', 'CD109', 'CD22', 'CD276', 'CDHR1', 'CHIT1', 'CHL1', 'CLEC4G', 'CLPS', 'CNDP1', 'CNST', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSH', 'CTSL', 'CXCL8', 'DNAJB1', 'DSG4', 'ECE1', 'FCAR', 'FCN2', 'FCRL5', 'FGF2', 'FOSB', 'GFOD2', 'GFRA2', 'GGH', 'GGT5', 'GH2', 'GPA33', 'HDGF', 'HLA-DRA', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL11', 'IL13', 'IL13RA1', 'IL1A', 'IL22RA1', 'IL24', 'IL5RA', 'ISLR2', 'KCNIP4', 'KLB', 'KLK10', 'KLK12', 'KLRB1', 'LAMA4', 'LGALS1', 'LHB', 'LHPP', 'LILRB1', 'LRP11', 'LY9', 'LY96', 'MAGED1', 'MAPT', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MUC13', 'MUC16', 'MZB1', 'NCK2', 'NCLN', 'NINJ1', 'NOMO1', 'NPY', 'NRP1', 'NTRK3', 'PCOLCE', 'PDGFC', 'PM20D1', 'PNLIPRP2', 'PON2', 'PON3', 'PPY', 'PRTG', 'PSPN', 'RARRES1', 'S100A16', 'SCG2', 'SDC1', 'SELE', 'SELPLG', 'SERPINA11', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SOD2', 'SPINT1', 'SSC5D', 'TDGF1', 'TFRC', 'TLR3', 'TMPRSS5', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF8', 'TP53INP1', 'TPT1', 'TSHB', 'TXLNA', 'VWA1', 'WFIKKN1', 'WIF1', 'XPNPEP2']",123
Fold 15,"['ANGPTL2', 'CRTAC1', 'FCAR', 'IGF2R', 'LGALS1', 'MZB1', 'PLAUR', 'PON3', 'TNFRSF8']",9
Fold 16,"['CCL20', 'CCL7', 'CES2', 'CRTAC1', 'CXCL8', 'FGF21', 'FOSB', 'GDF15', 'IL22RA1', 'LGALS1', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'PON3', 'PRSS8']",16
Fold 17,"['CCL7', 'DSG4', 'MZB1', 'SDC1']",4
Fold 18,"['CDCP1', 'CRTAC1', 'LGALS9', 'MZB1']",4
Fold 19,"['CCL20', 'CRTAC1', 'IL2RA', 'JUN', 'LGALS1', 'MAD1L1', 'MZB1']",7
Fold 20,"['CCL20', 'CRTAC1', 'LGALS1', 'MET', 'MZB1']",5
Fold 21,"['ADAMTS13', 'CCL20', 'CCL7', 'CRTAC1', 'CXCL8', 'FBP1', 'FOSB', 'IL22RA1', 'LGALS1', 'LILRB1', 'MDGA1', 'MSLN', 'MZB1', 'NOMO1', 'PON3', 'SRP14', 'TFPI2', 'XPNPEP2']",18
Fold 22,"['BAIAP2', 'CCL20', 'CRTAC1', 'CXCL8', 'FABP4', 'GGT1', 'JUN', 'LGALS1', 'MZB1', 'PLAUR', 'PSIP1', 'TMSB10', 'TNFRSF8']",13
Fold 23,"['ACAN', 'ACY1', 'ADAM15', 'ADAMTS15', 'ADCYAP1R1', 'AKR1C4', 'AMY2A', 'AMY2B', 'ANGPTL2', 'ANGPTL3', 'ANXA5', 'AOC1', 'BAIAP2', 'C19orf12', 'CA5A', 'CALB2', 'CCL17', 'CCL20', 'CCL7', 'CD164', 'CD1C', 'CD63', 'CDH17', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLEC4G', 'CLUL1', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSF', 'CTSH', 'CTSL', 'CXCL8', 'DKK4', 'DKKL1', 'DLL1', 'DSG4', 'ECE1', 'ENPP7', 'ERBB3', 'FCAR', 'FCGR2A', 'FCN2', 'FCRL6', 'FGF21', 'FOSB', 'GFAP', 'GFRA2', 'GGT5', 'GH2', 'GPA33', 'GZMH', 'HBQ1', 'HDGF', 'HLA-DRA', 'HMBS', 'HSP90B1', 'IFNGR2', 'IGF2R', 'IL10', 'IL11', 'IL13', 'IL17C', 'IL22RA1', 'IL2RB', 'IL33', 'IL5RA', 'ILKAP', 'ISLR2', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KRT5', 'LAMA4', 'LGALS1', 'LILRA5', 'LILRB1', 'LRP11', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NOMO1', 'NPTN', 'PDGFC', 'PIGR', 'PLA2G10', 'PM20D1', 'PNLIPRP2', 'PON3', 'PPY', 'PRSS8', 'PTH1R', 'RANGAP1', 'RBP2', 'SAMD9L', 'SCGN', 'SERPINB9', 'SIGLEC9', 'SPINK1', 'SPINT1', 'SSB', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF13C', 'TNFRSF8', 'TSLP', 'VWA1', 'XPNPEP2']",122
