,Fold selected features,Fold nb of features
Fold 34,"['CCL20', 'CCL7', 'CRTAC1', 'LGALS1', 'MSR1', 'MZB1', 'PIGR', 'PON3']",8
Fold 35,"['ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'ANGPTL3', 'AOC1', 'ATP6V1D', 'BAIAP2', 'BRK1', 'BSG', 'C19orf12', 'CAMKK1', 'CCL20', 'CCL21', 'CD109', 'CD276', 'CD5', 'CD63', 'CDC27', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLUL1', 'CRTAC1', 'CSF2RA', 'CTRB1', 'CTSL', 'CXCL8', 'DKK4', 'DNER', 'ENPP7', 'EPCAM', 'ERBB3', 'ERP44', 'FABP4', 'FASLG', 'FBP1', 'FCGR2B', 'FCN2', 'FCRLB', 'FGF21', 'GAL', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HEBP1', 'HLA-DRA', 'HMOX2', 'IGF2R', 'IL11', 'IL13', 'IL17C', 'IL17F', 'IL20', 'IL22RA1', 'IL2RB', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'LAMA4', 'LGALS1', 'LGALS9', 'LRP1', 'LTA', 'LYPD1', 'MDGA1', 'MDK', 'MET', 'MME', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NELL2', 'NFATC3', 'NINJ1', 'NPTN', 'NPY', 'NRP1', 'NRTN', 'PCOLCE', 'PDGFC', 'PLIN1', 'PM20D1', 'PON3', 'PRL', 'PRTG', 'PSIP1', 'RANGAP1', 'RARRES1', 'SELPLG', 'SMPDL3A', 'SPINK6', 'SSB', 'SUMF2', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TIMP3', 'TMPRSS5', 'TMSB10', 'TNFRSF11A', 'TNFRSF4', 'TNFRSF8', 'TP53INP1', 'TPT1', 'TSPAN1', 'TXNDC5', 'WIF1', 'XPNPEP2', 'XRCC4']",120
Fold 36,"['ANGPTL2', 'CCL20', 'CCL7', 'CRTAC1', 'CTSH', 'FBP1', 'MZB1', 'PON3', 'SPINT1']",9
Fold 37,"['BAIAP2', 'BTN3A2', 'CCL20', 'CNTN5', 'CXCL8', 'DSG4', 'LGALS1', 'LRRC25', 'MZB1', 'PLAUR', 'SPINT1', 'TIMP1']",12
Fold 38,"['ADAM15', 'BAIAP2', 'BST1', 'CAMKK1', 'CASP1', 'CCL20', 'CD5', 'CLC', 'COPE', 'CPA2', 'CRTAC1', 'CTSH', 'DDX58', 'DKKL1', 'ENG', 'EPCAM', 'FOSB', 'GAL', 'GH2', 'GPA33', 'GZMA', 'HLA-DRA', 'IGF2R', 'IL12RB1', 'IL18RAP', 'IL32', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLRD1', 'LILRB1', 'LY9', 'LY96', 'MDGA1', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCAM2', 'NCLN', 'NRP1', 'PDGFC', 'PIGR', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'PRTG', 'RAB6B', 'RBP2', 'SCP2', 'SDC1', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SSB', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF8', 'TSLP', 'XPNPEP2']",65
Fold 39,"['ANGPTL2', 'CCL19', 'CCL20', 'CES2', 'CRTAC1', 'DKKL1', 'DSG4', 'FCGR2B', 'GNLY', 'HDGF', 'KCNIP4', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PSIP1', 'RANGAP1', 'TMPRSS5', 'XPNPEP2', 'XRCC4']",21
Fold 40,"['CCL7', 'DSG4', 'GDF15', 'LGALS1', 'MZB1', 'PLAUR', 'TNFRSF10A']",7
Fold 41,"['ACE2', 'ACP5', 'ADAMTS13', 'ADAMTS15', 'AKR1C4', 'AMY2A', 'AMY2B', 'ANGPTL2', 'ANGPTL7', 'AOC1', 'ARNT', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'BPIFB1', 'BSG', 'BST1', 'CA5A', 'CCL20', 'CCL7', 'CD177', 'CD22', 'CD276', 'CDHR1', 'CDHR2', 'CEACAM3', 'CEACAM5', 'CES2', 'CHL1', 'CLEC4G', 'COLEC12', 'CPA2', 'CPE', 'CRTAC1', 'CRX', 'CSF2RA', 'CTSL', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'DSG4', 'EPCAM', 'FABP1', 'FABP4', 'FCN2', 'FCRL5', 'FOSB', 'FST', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'HAVCR2', 'HDGF', 'HLA-DRA', 'ICAM1', 'ICAM4', 'IGF2R', 'IGSF3', 'IL11', 'IL17D', 'IL1RAP', 'IL2RB', 'IL32', 'ISLR2', 'ISM1', 'KIR2DL3', 'KLB', 'KLK10', 'KLRD1', 'LAMA4', 'LGALS9', 'LILRA5', 'LILRB1', 'LRP11', 'LY96', 'LYPD1', 'MAD1L1', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NOMO1', 'NPTN', 'NPY', 'NRP1', 'NRP2', 'NTRK3', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'PODXL2', 'PON3', 'PPY', 'PTH1R', 'RANGAP1', 'SCGN', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SSB', 'ST3GAL1', 'TDGF1', 'THPO', 'TMPRSS15', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TPT1', 'TSHB', 'XPNPEP2']",119
Fold 42,"['CCL7', 'CRTAC1', 'JUN', 'LGALS1', 'MZB1', 'PON3']",6
Fold 43,"['CCL7', 'GDF15', 'LGALS9', 'MZB1']",4
Fold 44,"['ACP5', 'ACTN4', 'ADAMTS13', 'AMIGO2', 'ANGPTL2', 'AOC1', 'B4GAT1', 'BAIAP2', 'BCAN', 'BSG', 'C4BPB', 'CALB2', 'CAMKK1', 'CCL19', 'CCL20', 'CD200', 'CD276', 'CDH17', 'CEACAM8', 'CES2', 'CHIT1', 'CLEC4C', 'CLPS', 'COL4A1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSL', 'CXCL8', 'DSG4', 'ENPP7', 'EPCAM', 'ERBB3', 'FABP4', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GFRA3', 'GGH', 'GGT1', 'GGT5', 'GH2', 'GP2', 'GPA33', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IL13', 'IL13RA1', 'IL1RAP', 'IL22RA1', 'IL2RA', 'IL33', 'IL6R', 'ISM1', 'KCNIP4', 'KLB', 'KLK10', 'KLRB1', 'LAMA4', 'LGALS1', 'LHB', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MMP13', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NCS1', 'NDRG1', 'NECTIN2', 'NEFL', 'NGF', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NRP2', 'NTF4', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLIN1', 'PM20D1', 'PPP3R1', 'PRSS8', 'PTS', 'RANGAP1', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SLC16A1', 'SMOC2', 'SPINK6', 'SPINT1', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TPSAB1', 'TPT1', 'ULBP2', 'XPNPEP2']",125
Fold 45,"['ACE2', 'ADAM15', 'AMBN', 'AMIGO2', 'AMN', 'AOC1', 'BAIAP2', 'BSG', 'CBLIF', 'CCL15', 'CCL20', 'CD164', 'CD27', 'CD38', 'CDH17', 'CDHR2', 'CNTN2', 'COL6A3', 'COLEC12', 'COPE', 'CPA2', 'CRTAC1', 'CSF3', 'CSTB', 'CTSF', 'CTSL', 'DKKL1', 'DPT', 'ENPP7', 'EPCAM', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCN2', 'FCRL5', 'FGF21', 'FGR', 'GDF15', 'GFRA2', 'GFRA3', 'GGT1', 'GGT5', 'GH2', 'GP2', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'HMBS', 'IGF2R', 'IGFBPL1', 'IL11', 'IL1RAP', 'IL20', 'IL6', 'INHBC', 'KCNIP4', 'KLB', 'KLK10', 'KLRD1', 'LGALS1', 'LILRA5', 'LILRB1', 'LRIG1', 'LRP11', 'LTBP3', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MMP13', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NFASC', 'NGF', 'NOMO1', 'NOS1', 'NPTN', 'NRTN', 'NTRK3', 'PDGFC', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRTG', 'PSIP1', 'RANGAP1', 'REN', 'S100A16', 'SELPLG', 'SH2D1A', 'SIRT5', 'SMOC2', 'SOST', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TEK', 'TFPI2', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF4', 'TNFSF12', 'TPT1', 'TSLP', 'TYRO3', 'ULBP2', 'XPNPEP2', 'XRCC4']",125
Fold 46,"['ADAMTS15', 'ADGRG1', 'ADGRG2', 'AMBP', 'ANGPTL2', 'AOC1', 'B4GAT1', 'BAIAP2', 'CAMKK1', 'CCL20', 'CD164', 'CD276', 'CES2', 'CHIT1', 'CLUL1', 'CNTN5', 'COLEC12', 'CRH', 'CRTAC1', 'CXCL8', 'DLL1', 'DPT', 'ECE1', 'EPCAM', 'FABP4', 'FCAR', 'FCN2', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GPA33', 'GRN', 'HBQ1', 'HDGF', 'ICAM1', 'IGF2R', 'IKZF2', 'IL13', 'IL16', 'IL17C', 'IL24', 'IL2RA', 'IL5', 'ISLR2', 'JUN', 'KCNIP4', 'KLK12', 'LAMA4', 'LEP', 'LGALS1', 'LHB', 'LILRA5', 'LILRB1', 'LRRC25', 'LY9', 'MAGED1', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NELL2', 'NMNAT1', 'NPTN', 'NPY', 'PIGR', 'PLA2G7', 'PLAUR', 'PNLIPRP2', 'PON3', 'PPY', 'PRKRA', 'PSPN', 'PTK7', 'RANGAP1', 'RASA1', 'S100A16', 'SCARB1', 'SIGLEC9', 'SMOC2', 'SPINT1', 'SRP14', 'TDGF1', 'TFPI2', 'TFRC', 'THBS2', 'TMSB10', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TPT1', 'XPNPEP2']",95
Fold 47,"['ADAMTS13', 'ARNT', 'BAIAP2', 'CCL20', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CRTAC1', 'FABP4', 'HDGF', 'IL22RA1', 'LAMA4', 'LGALS1', 'LY96', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NOMO1', 'NPTN', 'PPY', 'XPNPEP2']",23
Fold 48,"['ANGPTL2', 'CASP1', 'CRTAC1', 'CTSH', 'DSG4', 'FOSB', 'IGF2R', 'LGALS1', 'MDGA1', 'MZB1', 'PLAUR', 'SIGLEC9', 'SRP14', 'TNFRSF8']",14
Fold 49,"['ADAM15', 'ADGRG2', 'ALPP', 'AMY2A', 'AMY2B', 'ANGPTL3', 'B4GAT1', 'CCL15', 'CCL17', 'CCL19', 'CCL20', 'CCL7', 'CD276', 'CD300C', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CTSL', 'CXCL8', 'DDC', 'DKK4', 'DLL1', 'DPT', 'EFNA1', 'ERBB4', 'FCGR2B', 'FCN2', 'FCRL6', 'FGF21', 'FOSB', 'FUCA1', 'GAL', 'GDF15', 'GGT5', 'GH1', 'GNLY', 'GPA33', 'HLA-DRA', 'HPGDS', 'IGF2R', 'IGSF3', 'IL11', 'IL13', 'IL13RA1', 'IL16', 'IL1R1', 'IL2', 'IL2RA', 'IL2RB', 'IL5RA', 'ILKAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLK14', 'LAMA4', 'LGALS1', 'LILRB1', 'LRP11', 'LYPD8', 'MATN2', 'MDGA1', 'MET', 'MICB_MICA', 'MILR1', 'MSLN', 'MUC13', 'MZB1', 'NCAM2', 'NINJ1', 'NPTN', 'NRP1', 'PADI2', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'PON3', 'RASSF2', 'RBP2', 'S100P', 'SCARB1', 'SERPINB8', 'SFTPA2', 'SIGLEC9', 'SIRPB1', 'SLIT2', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFRC', 'THBS2', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TNFSF12', 'TNNI3', 'TSHB', 'WISP1', 'XPNPEP2']",112
Fold 50,"['CCL20', 'FOSB', 'HDGF', 'MDGA1', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TMPRSS5', 'TNFRSF8', 'XPNPEP2']",11
Fold 51,"['ACE2', 'ACTN4', 'ADAMTS13', 'ADAMTS15', 'AKR1C4', 'AMY2A', 'ANGPTL2', 'AOC1', 'APOM', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CAPG', 'CCL20', 'CD276', 'CD63', 'CDH17', 'CDHR1', 'CES2', 'CHIT1', 'CLPS', 'COL4A1', 'COLEC12', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSL', 'CXCL8', 'DKKL1', 'DPT', 'ERBB4', 'EREG', 'FABP1', 'FABP4', 'FASLG', 'FCGR2B', 'FCN2', 'FCRLB', 'FGF21', 'FOSB', 'FST', 'FUT3_FUT5', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'IGF2R', 'IL13', 'IL17F', 'IL22RA1', 'IL2RA', 'IL33', 'ISM1', 'KLK1', 'KLK10', 'KLK12', 'KLRB1', 'LAMA4', 'LHB', 'LRPAP1', 'LY96', 'LYPD1', 'MAGED1', 'MDGA1', 'MET', 'MFAP3', 'MGMT', 'MME', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NFATC3', 'NINJ1', 'NOS1', 'NPTN', 'NPTXR', 'NPY', 'NTF4', 'OBP2B', 'OPTC', 'PAEP', 'PDGFC', 'PDGFRA', 'PLIN1', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PSIP1', 'PTH1R', 'RANGAP1', 'RARRES1', 'S100A16', 'SCGN', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TANK', 'TDGF1', 'THPO', 'TIMP3', 'TLR3', 'TMPRSS5', 'TNFRSF13C', 'TNFRSF4', 'TPT1', 'TXLNA', 'XPNPEP2', 'XRCC4']",124
Fold 52,"['ADAMTS16', 'ADCYAP1R1', 'ADGRG2', 'AGRN', 'AMY2B', 'ANGPTL2', 'ARNT', 'ASGR1', 'ATP6AP2', 'ATP6V1D', 'BAIAP2', 'BGN', 'C19orf12', 'CCL15', 'CCL20', 'CD164', 'CD300C', 'CD300LG', 'CD48', 'CD70', 'CDHR2', 'CEACAM3', 'CES2', 'CHIT1', 'CLUL1', 'CNTN1', 'CNTN2', 'CPA2', 'CRTAC1', 'CSTB', 'CTSH', 'CTSL', 'DEFA1_DEFA1B', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'DSG3', 'EFNA1', 'ENPP5', 'EPHA1', 'ERBB4', 'FABP1', 'FCAR', 'FCER2', 'FCN2', 'FCRL5', 'FGF19', 'GGT1', 'GH2', 'GHRHR', 'GNLY', 'HLA-DRA', 'HPGDS', 'ICAM4', 'IFNGR2', 'IGF2R', 'IL11', 'IL17RA', 'IL24', 'IL33', 'ILKAP', 'KCNIP4', 'KIR2DL3', 'LAMA4', 'LEP', 'LGALS1', 'LGALS9', 'LHB', 'LHPP', 'LILRA5', 'LILRB1', 'LRRC25', 'LY9', 'LY96', 'LYPD1', 'MAGED1', 'MASP1', 'MCAM', 'MDGA1', 'MET', 'MME', 'MSR1', 'MUC13', 'MZB1', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'NRP2', 'NTRK3', 'PCSK9', 'PDGFC', 'PEBP1', 'PPY', 'PRTG', 'RABEPK', 'RANGAP1', 'RELT', 'RETN', 'SIGLEC7', 'SLAMF7', 'SSC5D', 'TCL1B', 'TDGF1', 'THBS2', 'THPO', 'TLR3', 'TMSB10', 'TNFRSF10A', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF8', 'TSPAN1', 'XPNPEP2', 'XRCC4']",116
Fold 53,"['ACE2', 'ADAMTS13', 'ADAMTS15', 'ADGRG2', 'AHSP', 'AKR1C4', 'AMBP', 'ANXA5', 'AOC1', 'BAIAP2', 'BSG', 'C4BPB', 'CALB2', 'CCL20', 'CD164', 'CD276', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CHRDL1', 'CLPS', 'CLUL1', 'CNTN5', 'CRTAC1', 'CSF2RA', 'CTSL', 'CXCL8', 'DPT', 'DSG4', 'EPCAM', 'ERBB3', 'FABP4', 'FAP', 'FCAR', 'FCGR2A', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GFAP', 'GFOD2', 'GFRA1', 'GFRA2', 'GGT1', 'GGT5', 'GPA33', 'GRN', 'HAVCR2', 'HBQ1', 'HMBS', 'HMOX2', 'HSP90B1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL15RA', 'IL17C', 'IL22RA1', 'IL2RA', 'IL5RA', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLK12', 'L1CAM', 'LEP', 'LGALS1', 'LHB', 'LILRA5', 'LILRB1', 'LPO', 'LRPAP1', 'LRRC25', 'LY9', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NEFL', 'NOS1', 'NPTN', 'NPY', 'PAG1', 'PDGFC', 'PDGFRA', 'PLAUR', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'PSPN', 'RANGAP1', 'RETN', 'S100A16', 'SCARB1', 'SPINT1', 'SRP14', 'TCL1A', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'WISP1', 'XG', 'XPNPEP2']",118
Fold 54,"['CCL20', 'CCL7', 'FOSB', 'LGALS1', 'MZB1']",5
Fold 55,"['BAIAP2', 'CCL20', 'CRTAC1', 'DSG4', 'FOSB', 'HDGF', 'IGF2R', 'LGALS1', 'MAGED1', 'MDGA1', 'MUC13', 'MZB1', 'SMOC2', 'TNC', 'XPNPEP2']",15
Fold 56,"['ACP5', 'ACP6', 'ADAMTS13', 'ADAMTS15', 'AMY2B', 'ANGPTL3', 'ANXA3', 'AOC1', 'ATP6V1D', 'BAIAP2', 'BMP4', 'BSG', 'CALB2', 'CAPG', 'CCL20', 'CCN1', 'CD33', 'CD38', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CLEC4G', 'CLPS', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'CTSL', 'CXCL8', 'DKKL1', 'DNER', 'DSG2', 'ECE1', 'ENAH', 'FABP1', 'FABP2', 'FABP4', 'FBP1', 'FCAR', 'FCGR2B', 'FCGR3B', 'FCN2', 'FGF21', 'FOSB', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'HBQ1', 'HEBP1', 'HLA-DRA', 'ICAM5', 'IFNGR1', 'IFNGR2', 'IGF2R', 'IL13', 'IL16', 'IL1RAP', 'IL22RA1', 'IL33', 'IL7R', 'KCNIP4', 'KLK1', 'KLK10', 'LAMA4', 'LGALS1', 'LILRB1', 'LRPAP1', 'LTA', 'LY96', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NDUFS6', 'NEFL', 'NINJ1', 'NPTN', 'NPTXR', 'NPY', 'NTF3', 'NXPH1', 'PCOLCE', 'PDGFC', 'PIGR', 'PM20D1', 'PODXL2', 'POLR2F', 'PPY', 'PSIP1', 'RARRES1', 'RBP2', 'S100A11', 'S100A16', 'SFTPA2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SMPDL3A', 'SOST', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'STX8', 'TDGF1', 'TFPI2', 'THPO', 'TMSB10', 'TNFRSF4', 'TP53INP1', 'TRIAP1', 'TSHB', 'TXLNA', 'ULBP2', 'VTCN1', 'XPNPEP2']",123
Fold 57,"['ACP5', 'ADAM15', 'ADGRG1', 'ADGRG2', 'ALPP', 'AMBN', 'AMY2A', 'AMY2B', 'ARNT', 'BAIAP2', 'BCAN', 'C19orf12', 'CCL15', 'CCL20', 'CCL7', 'CD207', 'CD300C', 'CD5', 'CD63', 'CDH5', 'CEACAM5', 'CES2', 'CLC', 'CNTN1', 'CNTN2', 'CPA2', 'CPB1', 'CRTAC1', 'CTSD', 'CTSH', 'CTSL', 'DKKL1', 'DLL1', 'ENPP7', 'EPCAM', 'ERBB4', 'FABP1', 'FABP9', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL6', 'FCRLB', 'FGF21', 'FOSB', 'GGT5', 'GH2', 'GNLY', 'GPA33', 'GZMB', 'HAVCR1', 'HCLS1', 'HDGF', 'HYAL1', 'IGF2R', 'IL11', 'IL12RB1', 'IL18RAP', 'IL1A', 'IL2RA', 'IL2RB', 'IL33', 'IL5RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK14', 'KLRD1', 'LGALS1', 'LGALS9', 'LILRB1', 'LILRB5', 'LRP11', 'LY9', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NEFL', 'NGF', 'NID2', 'NINJ1', 'NOMO1', 'NPTN', 'NPY', 'NRP2', 'NRTN', 'OXT', 'PLXNB2', 'PM20D1', 'PPY', 'PRKRA', 'PRSS8', 'PRTG', 'PSMA1', 'RANGAP1', 'RASSF2', 'RGMA', 'SCG2', 'SCP2', 'SDC1', 'SIGLEC10', 'SIGLEC6', 'SPINK6', 'SSC5D', 'TDGF1', 'THPO', 'TIGAR', 'TLR3', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF8', 'TYMP', 'ULBP2', 'VWC2', 'XPNPEP2']",120
Fold 58,"['CCL20', 'CRTAC1', 'CSTB', 'EGLN1', 'MSR1', 'MZB1', 'SIGLEC9', 'TMSB10']",8
Fold 59,"['ADAMTS13', 'AKR1C4', 'AOC1', 'APOM', 'BAIAP2', 'CA6', 'CCL19', 'CCL20', 'CD200', 'CD34', 'CD38', 'CD63', 'CDH17', 'CDH5', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLPS', 'CLUL1', 'CNTN5', 'CRTAC1', 'CTSL', 'CXCL8', 'DKKL1', 'DPT', 'DSG4', 'ECE1', 'ERBB3', 'FABP4', 'FAP', 'FASLG', 'FBP1', 'FCN2', 'FGF21', 'FOSB', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GP2', 'GPA33', 'GRN', 'HBQ1', 'HDGF', 'HMBS', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL17C', 'IL24', 'IL2RA', 'IL5', 'ILKAP', 'ISLR2', 'JUN', 'KCNIP4', 'KIR2DL3', 'KLK12', 'L1CAM', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRB1', 'LRPAP1', 'LRRC25', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MSLN', 'MUC13', 'MZB1', 'NELL2', 'NOMO1', 'NPTN', 'NPY', 'NT5E', 'PDGFC', 'PDGFRA', 'PIGR', 'PLA2G7', 'PNLIPRP2', 'PON2', 'PON3', 'PRDX1', 'PRKRA', 'PRSS8', 'PSIP1', 'RAB6B', 'RANGAP1', 'RARRES1', 'S100A16', 'SCARB1', 'SCP2', 'SDC1', 'SEZ6L2', 'SIGLEC7', 'SIGLEC9', 'SOD2', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TPT1', 'TSLP', 'TSPAN1', 'TXNDC5', 'VAMP5', 'XPNPEP2', 'XRCC4']",122
Fold 60,"['CRTAC1', 'FOSB', 'GZMA', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'PCSK9', 'PIGR', 'PON3', 'TNFRSF8']",11
Fold 61,"['LGALS1', 'MZB1']",2
Fold 62,"['ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'ADGRG2', 'ALPP', 'AMY2B', 'ANGPTL2', 'ARNT', 'B4GAT1', 'C19orf12', 'CA5A', 'CALB2', 'CCL15', 'CCL20', 'CCL22', 'CD164', 'CD74', 'CEACAM3', 'CES2', 'CLUL1', 'CNTN1', 'CNTNAP2', 'COL4A1', 'CPA2', 'CPM', 'CRTAC1', 'CTSF', 'CTSH', 'CXCL13', 'DKKL1', 'DLL1', 'DSG2', 'ECE1', 'FABP4', 'FBP1', 'FCAR', 'FCN2', 'FGF21', 'FUS', 'GFRA2', 'GGT5', 'HBQ1', 'HLA-DRA', 'ICAM5', 'IGF2R', 'IGFBP3', 'IL11', 'IL13', 'IL16', 'IL17C', 'IL22RA1', 'IL24', 'IL33', 'ILKAP', 'ING1', 'JUN', 'KCNIP4', 'KLB', 'KLK1', 'KLK10', 'KLK11', 'LAMA4', 'LEP', 'LGALS9', 'LRPAP1', 'LTO1', 'LY96', 'LYPD1', 'MDGA1', 'MDK', 'MET', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NDUFS6', 'NECTIN2', 'NFATC3', 'NOMO1', 'NPTN', 'NPY', 'NRTN', 'NTRK3', 'PCOLCE', 'PDGFC', 'PLAUR', 'PM20D1', 'PODXL2', 'PON3', 'PPY', 'PRL', 'PSIP1', 'RANGAP1', 'SCGN', 'SIGLEC9', 'SLAMF1', 'SMOC2', 'SMPDL3A', 'SRP14', 'SSB', 'TCL1A', 'TFPI2', 'THPO', 'TIMP3', 'TINAGL1', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF8', 'TSHB', 'ULBP2', 'VWA1', 'WIF1', 'WISP2', 'XPNPEP2']",118
Fold 63,"['CCL7', 'GDF15', 'PLAUR', 'TIMP1']",4
