,Fold selected features,Fold nb of features
Fold 43,"['ADGRG1', 'CCL15', 'CCL20', 'CCL7', 'CEACAM5', 'CES2', 'CNTN1', 'CRTAC1', 'CTSH', 'FBP1', 'FGF21', 'FOSB', 'GRN', 'HPGDS', 'KIR2DL3', 'KRT18', 'KRT19', 'LGALS1', 'LGALS9', 'MDGA1', 'MSLN', 'MZB1', 'PON3', 'S100A16', 'SDC1', 'SRP14', 'TFPI2', 'THBS2']",28
Fold 44,"['BAIAP2', 'CALB2', 'CCL20', 'CPA2', 'CRTAC1', 'DSG4', 'FBP1', 'FOSB', 'IL2RA', 'LGALS1', 'LY96', 'MZB1', 'NDRG1', 'NOMO1', 'PDGFC', 'PON3', 'S100A16', 'SDC1', 'TMPRSS5', 'TNFRSF8']",20
Fold 45,"['CCL20', 'CRTAC1', 'MZB1', 'NOMO1', 'PON3', 'TFPI2']",6
Fold 46,"['ADGRG2', 'ANGPTL2', 'AOC1', 'CCL20', 'CRTAC1', 'CTSH', 'CXCL8', 'DSG4', 'FCAR', 'FOSB', 'JUN', 'KLK12', 'LGALS1', 'LILRB1', 'MUC13', 'MZB1', 'PON3', 'S100A16']",18
Fold 47,"['BAIAP2', 'CCL20', 'CCL7', 'CNTN1', 'CNTN5', 'CRTAC1', 'CXCL13', 'CXCL8', 'FBP1', 'GRN', 'LGALS1', 'LGALS9', 'LY96', 'MDGA1', 'MZB1', 'NOMO1', 'TNFRSF8', 'XPNPEP2']",18
Fold 48,"['CTSH', 'DSG4', 'MDGA1', 'MZB1', 'SIGLEC9']",5
Fold 49,"['CCL20', 'CCL7', 'CEACAM5', 'CES2', 'CXCL8', 'DSG4', 'FOSB', 'GNLY', 'HPGDS', 'IL5RA', 'KIR2DL3', 'LGALS1', 'MDGA1', 'MSLN', 'MZB1', 'PON3', 'TNC', 'TNFRSF8']",18
Fold 50,"['CCL20', 'FOSB', 'MDGA1', 'MZB1', 'PON3', 'SIGLEC9', 'TMPRSS5', 'TNFRSF8']",8
Fold 51,"['BAIAP2', 'CCL20', 'CPA2', 'CXCL8', 'GGT1', 'IL2RA', 'MDGA1', 'MSLN', 'MZB1', 'PCSK9', 'PON3']",11
Fold 52,"['CCL15', 'CCL20', 'CRTAC1', 'CTSH', 'DSG4', 'HPGDS', 'LGALS1', 'LGALS9', 'MZB1']",9
Fold 53,"['CCL20', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'DSG4', 'FOSB', 'JUN', 'LGALS1', 'MZB1', 'PON3', 'TNFRSF8']",12
Fold 54,"['FOSB', 'MZB1', 'TNC']",3
Fold 55,"['CCL20', 'CRTAC1', 'DSG4', 'LGALS1', 'MDGA1', 'MZB1']",6
Fold 56,"['AOC1', 'CAPG', 'CCL20', 'CES2', 'CTSH', 'CXCL8', 'DSG4', 'FBP1', 'FOSB', 'IL33', 'LGALS1', 'MDGA1', 'MZB1', 'PDGFC', 'S100A16', 'VWA1']",16
Fold 57,"['ADGRG2', 'AMBN', 'CPA2', 'CRTAC1', 'CTSH', 'GPA33', 'KIR2DL3', 'MZB1', 'NOMO1', 'PON3', 'SDC1', 'TNC', 'TNFRSF8']",13
Fold 58,"['CRTAC1', 'MZB1']",2
Fold 59,"['MZB1', 'PON3']",2
Fold 60,"['CES2', 'CRTAC1', 'CTSH', 'FBP1', 'FOSB', 'GZMA', 'HLA-DRA', 'MDGA1', 'MUC13', 'MZB1', 'PCSK9', 'PON3', 'TNFRSF8']",13
Fold 61,"['CCL20', 'CES2', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'DSG4', 'HDGF', 'IL22RA1', 'KIR2DL3', 'KLRD1', 'LGALS1', 'LILRA5', 'LILRB1', 'MDGA1', 'MZB1', 'NOMO1', 'PON3', 'TFPI2']",19
Fold 62,"['CPA2', 'CRTAC1', 'MZB1']",3
Fold 63,"['ANGPTL2', 'CCL20', 'CRTAC1', 'CXCL8', 'DSG4', 'FCAR', 'FOSB', 'GDF15', 'HPGDS', 'JUN', 'KIR2DL3', 'LGALS1', 'MZB1', 'PLAUR', 'PON3']",15
Fold 64,"['BAIAP2', 'CCL15', 'CCL20', 'DSG4', 'IL5RA', 'LY96', 'MDGA1', 'MZB1', 'PON3', 'S100A16']",10
Fold 65,"['CAPG', 'CTSH', 'FBP1', 'FOSB', 'HPGDS', 'MDGA1']",6
Fold 66,"['BAIAP2', 'CRTAC1', 'CTSH', 'LGALS1', 'MDGA1', 'MZB1', 'PON3', 'PRSS8']",8
